"Words","Freq"
"the stanleycup",3
"the teams",3
"the weirdest",3
"the whole",3
"these late",3
"they defeated",3
"they need",3
"things that",3
"think that",3
"this little",3
"this time",3
"this tumultuous",3
"thy likei",3
"time to",3
"time when",3
"to me",3
"to move",3
"to my",3
"to run",3
"to share",3
"to their",3
"to us",3
"todays date",3
"toe hold",3
"told us",3
"tonight should",3
"trying to",3
"tumultuous world",3
"up the",3
"using some",3
"wait till",3
"walks are",3
"want a",3
"wanted to",3
"was also",3
"was not",3
"way i",3
"we can",3
"we got",3
"we were",3
"weirdest dreams",3
"well done",3
"were a",3
"what thy",3
"what we",3
"while i",3
"who the",3
"will do",3
"will take",3
"with me",3
"without a",3
"works for",3
"worry cause",3
"wrigley field",3
"yearold bloomfield",3
"you who",3
"you will",3
"your favorite",3
"your gorgeous",3
"zeitgeist coffee",3
"a big",2
"a bit",2
"a blog",2
"a bold",2
"a bomb",2
"a brand",2
"a broken",2
"a certain",2
"a class",2
"a conference",2
"a consortium",2
"a daily",2
"a day",2
"a faithful",2
"a healthy",2
"a helmet",2
"a high",2
"a hot",2
"a laws",2
"a little",2
"a longterm",2
"a mentoring",2
"a mets",2
"a more",2
"a nice",2
"a parent",2
"a parents",2
"a perfect",2
"a pich",2
"a prayer",2
"a project",2
"a purpose",2
"a rhetorical",2
"a smoking",2
"a something",2
"a sparkly",2
"a standing",2
"a sucker",2
"a teacher",2
"a total",2
"a wonderful",2
"a year",2
"a yearplus",2
"ability to",2
"about a",2
"about to",2
"absolutely necessary",2
"academic achievement",2
"achievement and",2
"across the",2
"actin like",2
"acting director",2
"action committee",2
"actually pay",2
"adele gets",2
"administering of",2
"advocates for",2
"aftr mins",2
"against established",2
"agree to",2
"alaimo group",2
"all amazing",2
"all but",2
"almost up",2
"also good",2
"although this",2
"amazing powers",2
"amount of",2
"an excited",2
"an issue",2
"ancoras acting",2
"and an",2
"and being",2
"and chairs",2
"and complain",2
"and disparate",2
"and everyone",2
"and financial",2
"and fun",2
"and happy",2
"and images",2
"and implementation",2
"and in",2
"and inkind",2
"and inspire",2
"and institutions",2
"and is",2
"and kids",2
"and lowbirthweight",2
"and medical",2
"and neinas",2
"and not",2
"and one",2
"and other",2
"and patient",2
"and performed",2
"and son",2
"and suggest",2
"and tebowing",2
"and thank",2
"and what",2
"and writings",2
"and you",2
"and youth",2
"andrades children",2
"any bill",2
"any given",2
"anyone else",2
"apparently its",2
"appreciate you",2
"are adults",2
"are educational",2
"are gorgeous",2
"are health",2
"are literally",2
"are no",2
"are some",2
"are the",2
"as edgy",2
"as i",2
"as suspensions",2
"astroturf collegiate",2
"at la",2
"at school",2
"at this",2
"at wrigley",2
"attempting to",2
"attendance tonight",2
"attends a",2
"automotive production",2
"average gossip",2
"back on",2
"back to",2
"bag wondering",2
"baking sheet",2
"batum rose",2
"be at",2
"be awesome",2
"be done",2
"be expected",2
"be in",2
"be ready",2
"because it",2
"because the",2
"been making",2
"been waiting",2
"before carrying",2
"before sat",2
"before you",2
"being chauffeured",2
"best elbowthrowing",2
"bestfriend just",2
"between and",2
"bigger stick",2
"bigger the",2
"birthday you",2
"bloomfield resident",2
"blue wall",2
"bold green",2
"born on",2
"born weeks",2
"both direct",2
"breast cancer",2
"brighten up",2
"broken leg",2
"brother who",2
"bud light",2
"buffalo we",2
"but after",2
"but campaign",2
"but dont",2
"but he",2
"but if",2
"but im",2
"but impossible",2
"but that",2
"by an",2
"cake with",2
"called on",2
"campaign finance",2
"can go",2
"can to",2
"cant hate",2
"cardinals jerseys",2
"care of",2
"carreta is",2
"carrying any",2
"cars there",2
"cause that",2
"cell phone",2
"center of",2
"chairs were",2
"chauffeured in",2
"cheap he",2
"check it",2
"check my",2
"check on",2
"checkin wins",2
"checkins so",2
"cheese in",2
"children and",2
"children are",2
"children that",2
"childwellbeing indicators",2
"chocolate ice",2
"cinco de",2
"class a",2
"clear to",2
"collegiate bowl",2
"color as",2
"comad with",2
"come to",2
"come with",2
"committee partners",2
"conference with",2
"consignment in",2
"consortium of",2
"contract last",2
"contribution typically",2
"contributions to",2
"cool experiencing",2
"correct problems",2
"costs that",2
"could also",2
"cps to",2
"cream color",2
"creation on",2
"crying aftr",2
"cufon testing",2
"cup of",2
"dallas tonight",2
"daughters are",2
"day d",2
"day i",2
"day long",2
"day to",2
"days when",2
"de mayo",2
"dead will",2
"definitely not",2
"derby day",2
"detonated in",2
"die of",2
"dining room",2
"dinner and",2
"direct and",2
"discipline policies",2
"disparate administering",2
"disparities from",2
"dm that",2
"do appreciate",2
"do for",2
"do in",2
"do this",2
"do u",2
"does a",2
"dog weego",2
"doing some",2
"donated a",2
"done and",2
"done tastefully",2
"dont know",2
"dont think",2
"down the",2
"drawn dead",2
"dried apricots",2
"dugout and",2
"dyall think",2
"each other",2
"early june",2
"easy to",2
"edgy and",2
"edmundson i",2
"educational disparities",2
"effect immediately",2
"elbows up",2
"elbowthrowing impression",2
"election june",2
"elsewhere in",2
"employee accountability",2
"employees donated",2
"end zone",2
"enough for",2
"enough to",2
"ensuring homework",2
"erin and",2
"established systems",2
"etrade babies",2
"evaluate and",2
"every th",2
"everyone in",2
"everyone of",2
"everyone say",2
"exceptional create",2
"excited teen",2
"experiencing work",2
"eyes of",2
"fall to",2
"fallout from",2
"favorite tv",2
"feel it",2
"feel like",2
"feel young",2
"feeling tonight",2
"field with",2
"fiesta at",2
"finance records",2
"financial information",2
"firms that",2
"first is",2
"first round",2
"five chairs",2
"following poised",2
"fontbonne partners",2
"foot forward",2
"for about",2
"for all",2
"for an",2
"for children",2
"for example",2
"for having",2
"for i",2
"for it",2
"for most",2
"for nelson",2
"for no",2
"for our",2
"for schools",2
"for this",2
"for you",2
"fouc dyall",2
"four weeks",2
"free agents",2
"free movie",2
"free shirts",2
"from his",2
"from infancy",2
"front of",2
"fun as",2
"gail schafers",2
"game and",2
"game we",2
"gave more",2
"george kottaras",2
"get another",2
"get my",2
"get some",2
"get up",2
"gets done",2
"gets off",2
"getting to",2
"giant kelp",2
"giants fans",2
"girlfriends parents",2
"given the",2
"giving out",2
"go ten",2
"go to",2
"going on",2
"going through",2
"good game",2
"good to",2
"gossip and",2
"got a",2
"got hackeddo",2
"got hit",2
"grant of",2
"great stite",2
"greater population",2
"green replaced",2
"greg roberts",2
"grew up",2
"hackeddo not",2
"had in",2
"hahahahhahah u",2
"half hours",2
"hanging on",2
"happy derby",2
"harried office",2
"has a",2
"has taken",2
"hashtag is",2
"hate cheesecake",2
"hate on",2
"have amazing",2
"have made",2
"have we",2
"have you",2
"havent seen",2
"he could",2
"he had",2
"he hit",2
"he left",2
"he or",2
"he stressed",2
"he wanted",2
"he wasnt",2
"health disparities",2
"heat good",2
"her cell",2
"her daughters",2
"here at",2
"hey giants",2
"high school",2
"his arm",2
"his best",2
"his elbows",2
"his feet",2
"his first",2
"his victory",2
"his wife",2
"hit me",2
"hit on",2
"hold the",2
"holly was",2
"home alone",2
"home consignment",2
"home in",2
"homework gets",2
"hours at",2
"how many",2
"how to",2
"how we",2
"how ya",2
"humidity is",2
"i actually",2
"i also",2
"i always",2
"i believe",2
"i can",2
"i find",2
"i get",2
"i grew",2
"i i",2
"i just",2
"i liked",2
"i meet",2
"i promise",2
"i really",2
"i see",2
"i walk",2
"i were",2
"i will",2
"i would",2
"ice cream",2
"idea what",2
"ideal world",2
"if a",2
"if for",2
"if people",2
"if your",2
"im a",2
"im almost",2
"im just",2
"images and",2
"implementation in",2
"important our",2
"impossible for",2
"impression of",2
"improve employee",2
"improve security",2
"improvements to",2
"in academic",2
"in an",2
"in april",2
"in attendance",2
"in both",2
"in cardinals",2
"in dallas",2
"in early",2
"in ensuring",2
"in front",2
"in infant",2
"in its",2
"in light",2
"in making",2
"in north",2
"in other",2
"in pozzuoli",2
"in royal",2
"in terms",2
"in that",2
"in their",2
"in there",2
"in town",2
"in wordpress",2
"in words",2
"in your",2
"increased risks",2
"incredibly cautious",2
"indicators show",2
"infancy to",2
"infant mortality",2
"inkind contributions",2
"interior trim",2
"into a",2
"into the",2
"is against",2
"is at",2
"is attempting",2
"is for",2
"is hilarious",2
"is in",2
"is one",2
"is overused",2
"is packed",2
"is perfect",2
"is reportedly",2
"is rockin",2
"is sntck",2
"issue serious",2
"it absolutely",2
"it all",2
"it an",2
"it and",2
"it as",2
"it clear",2
"it could",2
"it definitely",2
"it gave",2
"it more",2
"it needs",2
"it off",2
"it out",2
"it puts",2
"it real",2
"it seems",2
"it up",2
"its cake",2
"its often",2
"its own",2
"ive been",2
"jail i",2
"jesus christ",2
"jogging stroller",2
"just about",2
"just by",2
"just got",2
"just made",2
"just think",2
"keith was",2
"know what",2
"know whats",2
"kottaras on",2
"la carreta",2
"lack of",2
"ladybugs lurv",2
"last fall",2
"last seven",2
"last week",2
"laws impact",2
"leadership rt",2
"leading up",2
"league that",2
"leave the",2
"left at",2
"legislators should",2
"let it",2
"life and",2
"life of",2
"light of",2
"light rescue",2
"like he",2
"like im",2
"like in",2
"like it",2
"like really",2
"like sarkohnohedidntzy",2
"like stalking",2
"like the",2
"liked thecareerbuilder",2
"link in",2
"literally starting",2
"little stage",2
"lo mejor",2
"longterm grant",2
"look at",2
"looked at",2
"looks like",2
"lost i",2
